Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F003759,24705,"Eggplant, unpeeled, fresh, baked, no added fat", $0.94 , $4.50 ,480,109,86,91.6,1.3,0.4,2.9,0,3,0,3,,,,,27,,35,,0.089,0,0,0.24,,9,0.176,,,,30,200,0,6,,,0.12,8,0.053,0.045,1.06,0.26,1.9,2.6,0,0,3,0,3.1,,,,,,,,3.13,,,,,,0,0,0,0,,0,0,0
F008806,24503,"Sprout, bean, fresh, raw", $0.96 , $9.60 ,1000,94,84,93.4,3.1,0.1,1.3,0,1,0,1.6,,,,,10,,0,,0.06,0,0,0.4,,14,0.09,,,,30,150,0,1,,,0.6,4,0.03,0.11,1.16,0.13,0.04,4.7,0,21,12,0,0,,,,,,,,0.05,0,0,0,,0,0,0,0,0,,0,0,0
F005421,27201,"Marmalade, orange", $0.96 , $4.80 ,500,1060,1054,31.2,0.1,0,0.8,0,65.4,62.3,65.5,,,,,15,,,,0.11,,0,0.3,,29,0,,,,5,27,0.6,33,,,0,0,0,0,0.02,,0.06,,0,9,2,0,0.1,,,,,,,,0.06,0,0,0,,0,0,0,0,0,,0,0,0
F005193,24401,"Lettuce, mignonette, raw", $0.97 , $2.90 ,300,64,52,94.7,1.3,0.3,1.4,0,1.1,0,1.1,,0,0.4,1,20,2.2,,,0.077,,2.1,1.1,0.8,13,,0,1.1,11,25,230,0.8,18,,0.3,0.28,97,0.05,0.07,0.46,,0.06,,0,57,12,0,0.2,,,,,,,,0.2,0,0,0,,0,0,0,0,0,,0,0,0
F002378,24202,"Cauliflower, fresh, raw", $0.98 , $4.90 ,500,102,93,92.7,1.9,0.2,1.2,0,2.8,0,3.3,0,,0,0,18,0,30,,0.025,160,0,0.32,0,16,0.125,,3.9,,46,242,0,40,,,0.2,0,0.04,0.05,0.36,0.57,0.17,,0,56,26,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F002377,24202,"Cauliflower, fresh, boiled, drained", $0.98 , $4.90 ,500,106,96,92.4,2,0.2,1.2,0,2.9,0,3.4,0,,0,0,18,0,31,,0.026,166.67,0,0.32,0,15,0.13,,4.1,,43,227,0,40,,,0.2,0,0.033,0.047,0.37,0.59,0.13,,0,38,20,0,0,,,,,,,,0,,,,,,0,0,0,0,,0,0,0
F009035,24302,"Sweet potato, orange flesh, peeled, fresh, raw", $1.00 , $1.13 ,113,293,273,78.7,1.9,0.1,2.6,0,5.6,0,14.1,,,,,27,,,,,,0,0.5,,14,,,,,33,250,0,10,,,0.5,1129,0.03,0.05,1.53,,0.22,,0,3,31,0,0.7,,,,,,,,0.7,0,0,0,,0,0,0,0,0,,0,0,0
F009034,24302,"Sweet potato, orange flesh, peeled, fresh, boiled, drained", $1.00 , $1.13 ,113,315,293,77.1,2,0.1,2.7,0,6,0,15.2,,,,,28,,,,,,0,0.51,,14,,,,,34,242,0,10,,,0.51,1032,0.026,0.051,1.65,,0.2,,0,2,25,0,0.7,,,,,,,,0.72,,,,,,0,0,0,0,,0,0,0
F009033,24302,"Sweet potato, orange flesh, peeled, fresh, baked, no added fat", $1.00 , $1.13 ,113,357,332,74,2.3,0.1,3.1,0,6.8,0,17.2,,,,,33,,,,,,0,0.61,,17,,,,,40,305,0,12,,,0.61,1239,0.031,0.058,1.87,,0.25,,0,3,30,0,0.8,,,,,,,,0.81,,,,,,0,0,0,0,,0,0,0
F007057,18103,"Pork, mince, untrimmed, raw", $1.00 , $8.00 ,800,748,748,69.6,20.9,10.6,0,0,0,0,0,,,,,8,,80,,0.062,0.22,1.1,0.93,,20,0.01,,,,170,330,13.5,58,200,,2.2,5,0.72,0.16,11.15,0.8,0.41,3,0.5,9,0,0.4,0,,0,,,,,,0,39.7,13.6,0.4,,0.7,4,4.62,1.37,40.28,,70.49,0,54
F007055,18103,"Pork, mince, as purchased, fried, no added fat", $1.00 , $8.00 ,800,849,849,63.1,25.9,11,0,0,0,0,0,,,,,12,0.3,90,,0.082,0.02,1.5,1.22,,22,0.012,,1.2,1,180,350,26.2,59,250,,3.02,2,0.7,0.1,15.84,1.2,0.42,3.5,0.6,10,0,0.4,0,,,,,,,,0,39.7,13.6,0.4,,0.7,4.17,4.82,1.43,41.99,,73.48,0,57
F006429,12403,"Pasta, gluten free, boiled from dry, no added salt", $1.00 , $1.00 ,100,639,630,62.2,3.1,0.7,1.2,0,0,0,32.4,290,,,0,15,1.9,,,0.044,,1,0.85,,13,0.21,,5.3,,40,39,0,1,25,,0.28,0,0,0,0.44,0,0,,0.3,120,0,0,0,,0,,0,,0,,0,47.9,33.3,0,,2.6,0.27,0.08,0.19,0,,14.87,0,0
F005241,28401,"Lolly, mint flavoured, sugar sweetened", $1.00 , $1.00 ,100,1588,1588,4.7,0.1,2,0,0,74.3,74.3,93.3,,,,,1,,,,0.08,,0,0,,1,0,,,,11,3,0,48,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,11,42.65,0,,2.2,0.18,0.71,0.68,0,,36,0,0
F005235,28401,"Lolly, hard varieties", $1.00 , $1.00 ,100,1566,1566,0.6,0,0,0,0,93.2,93.2,98.4,,,,,71,,40,,0,20,0,0.1,,0,0,,,,3,3,0,250,6,,0.3,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004004,12103,"Flour, spelt", $1.00 , $10.00 ,1000,1470,1411,10.3,18.7,2.4,7.4,0,0.9,0,59.1,380,,,0,29,3.4,,,0.65,,1.3,4.8,,110,3.7,,66,,330,330,26,2,180,,3,0,0.4,0.02,8.18,0.61,0.13,,0,75,0,0,0,,0,,0,,0.1,,0.01,16.7,56.7,0,,0.6,0.27,0.43,0.91,0,,9.65,0,0
F003305,13401,"Croissant, plain", $1.00 , $4.00 ,400,1505,1478,27.6,10,19.1,2.7,0,5.1,5.1,35.6,,,,,40,,280,,0.15,0,1.1,1.1,,24,0.5,,,,91,130,8,462,100,,1.1,139,0.11,0.09,2.61,0.37,0.04,11,0.2,46,0,0,0.2,,,,,,,,0.25,66.43,4.66,0.041,0.78,5.1,12,4.35,0.84,7.44,140,919.72,0,18
F003209,24704,"Corn, fresh on cob, raw", $1.00 , $1.80 ,180,366,335,78.2,3.6,1.8,3.8,0,5.4,0,12.5,0,,0,0,16,0,,,0.028,,0,1.2,0,12,0.11,,1.5,,22,250,0,19,,,0.45,1,0.05,0.05,1.59,0.18,0.07,,0,16,3,0,0,,,,,,,,0,29.1,59.7,0,,0,0.48,0.07,0.99,0,,0,0,0
F003200,24704,"Corn, fresh on cob, boiled, drained", $1.00 , $1.80 ,180,381,349,77.3,3.8,1.9,4,0,5.6,0,13,0,,0,0,16,0,,,0.029,,0,1.19,0,12,0.114,,1.6,,21,234,0,19,,,0.44,1,0.042,0.047,1.66,0.19,0.05,,0,11,2,0,0,,,,,,,,0,,,,,,0.5,0.07,1.03,0,,0,0,0
F003198,26201,"Corn chips, plain, toasted, salted", $1.00 , $1.00 ,100,2053,2004,1.4,7.5,25,5.2,0,0.6,0,56,210,,0,,130,,,,0.125,0,5.4,1.3,0,92,0.43,,9.1,,255,170,1.4,420,,,1.5,11,0.08,0.03,0.8,0.03,0.08,5.8,0,20,0,0,3.2,,0,,0.3,,4.5,,3.6,24.3,26.1,0,,0.7,5.81,11.54,6.24,0,,167.3,0,0
F001302,24201,"Bok choy, steamed", $1.00 , $2.50 ,250,82,62,94.6,2.6,0.2,2.6,0,0.6,0,0.6,,0,0.7,1,82,,94,,0.043,0,3.2,1.38,1.1,18,0.276,0,,,24,221,0,56,,0.5,0.35,91,0.092,0.112,0.28,0,0.41,3,0,25,10,0,0.1,,,,,,,,0.14,,,,,,0,0,0,0,,0,0,0
F001301,24201,"Bok choy, raw", $1.00 , $2.50 ,250,79,60,94.8,2.5,0.2,2.4,0,0.6,0,0.6,,0,0.7,1,83,,90,,0.041,0,3.9,1.4,1.1,18,0.265,0,,,28,250,0,57,,0.5,0.36,92,0.11,0.12,0.27,0,0.53,2.9,0,40,17,0,0.1,,,,,,,,0.14,0,0,0,,0,0,0,0,0,,0,0,0
F001300,24201,"Bok choy, fried, no added fat", $1.00 , $2.50 ,250,113,85,92.6,3.6,0.3,3.5,0,0.8,0,0.8,,0,1,1.4,118,,128,,0.058,0,5.3,2,1.6,26,0.378,0,,,39,357,0,81,,0.7,0.51,118,0.141,0.163,0.39,0,0.72,4.1,0,49,21,0,0.2,,,,,,,,0.19,,,,,,0,0,0,0,,0,0,0
F001129,13201,"Biscuit, savoury, from white wheat flour, Salada style", $1.00 , $3.50 ,350,1785,1756,3.5,9.2,14.2,3.6,0,1.2,0.6,63.1,160,0.2,2.2,0.5,152,5.1,1210,,0.142,25,3,2.97,0.1,33,1,0,18,14,120,170,13.4,830,70,0,0.91,5,0.2,0.05,3.58,0.27,0,6,0,16,0,0,1.8,,0,,0,,0.8,,1.88,28.05,18.95,0,,0.6,3.8,6.77,2.56,0,,74.46,0,16
F009090,12103,"Tapioca, pearl or seed style, uncooked", $1.04 , $1.04 ,100,1359,1359,12,0.2,0.2,0,0,0,0,79.3,,,,,16,,20,,0.1,190,14,1.7,,4,0.1,,,,8,23,0,1,14,,0.1,0,0.11,0.02,0.35,0,0,0.1,0,4,0,0,0,,,,,,,,0,50.9,19.8,0,,0,0.08,0.05,0.03,0,,0,0,0
F009089,12103,"Tapioca, pearl or seed style, boiled, no added fat or salt", $1.04 , $1.04 ,100,197,197,87.2,0,0,0,0,0,0,11.5,,,,,4,,8,,0.044,96.2,2.6,0.25,,2,0.277,,,,1,4,0,3,5,,0.02,0,0.016,0.003,0.05,,0,,0,0,0,0,0,,,,,,,,0,,,,,,0.01,0.01,0,0,,0,0,0
F003897,15501,"Fish finger, crumbed, purchased frozen, raw", $1.05 , $10.50 ,1000,924,916,57.3,12.1,11.6,1.1,0,1.5,0,16.6,620,,,0,13,10,,,0.056,,4.4,0.45,,22,0.2,,3.7,,170,190,24,300,120,,0.4,15,0.07,0.06,2.8,0.2,0.01,,0.4,69,0,0.6,0.4,,0,,0,,0.5,,0.45,14.1,29,6,,0.6,1.56,6.15,3.22,665.376,,63.21,0,28
F003896,15501,"Fish finger, crumbed, purchased frozen, grilled, no added fat", $1.05 , $10.50 ,1000,1050,1040,51.5,13.8,13.2,1.2,0,1.7,0,18.9,704.5,,,0,15,11.4,,,0.064,,4.8,0.51,,25,0.227,,4.2,,193,216,27.3,341,136,,0.45,15,0.072,0.065,3.18,0.23,0.01,,0.4,74,0,0.61,0.4,,0,,0,,0.6,,0.51,,,,,,1.78,6.99,3.65,756.109,,71.83,0,32
F002597,18301,"Chicken, breast, lean flesh, skin & fat, raw", $1.05 , $10.50 ,1000,666,666,69.7,20.2,8.7,0,0,0,0,0,,,,,6,,35,,0.027,0,0.4,0.34,,27,0.011,,,,212,338,13.9,46,,,0.53,24,0.098,0.051,12.42,1.12,0.44,2,0.2,0,0,4.27,0.5,,,,,,,,0.52,,,,,,2.66,4.31,1.18,11.166,,33.61,0,72
F002596,18301,"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat", $1.05 , $10.50 ,1000,701,701,64.7,26,7,0,0,0,0,0,,,,,11,,44,,0.05,0,0.8,0.44,,27,0.011,,,,250,258,19.7,41,,,0.91,14,0.046,0.103,16.35,1.14,0.33,3.1,0.3,0,0,6.11,0.3,,,,,,,,0.32,,,,,,2.16,3.47,0.94,15.937,,32.91,0,77
F002595,18301,"Chicken, breast, lean flesh, skin & fat, baked, no added fat", $1.05 , $10.50 ,1000,785,785,63,27.7,8.5,0,0,0,0,0,,,,,13,,43,,0.044,0,0.2,0.57,,29,0.012,,,,271,303,25.8,48,,,0.87,20,0.044,0.117,16.66,1.13,0.2,4,0.3,3,0,6.13,0.4,,,,,,,,0.4,,,,,,2.63,4.2,1.16,16.216,,38.5,0,92
F002594,18301,"Chicken, breast, lean flesh, raw", $1.05 , $10.50 ,1000,412,412,75.6,22.5,0.8,0,0,0,0,0,0,,0,,4,,37,,0.024,0,0,0.26,0,31,0.008,,4,,240,390,17,48,,,0.52,4,0.12,0.04,14.23,1.3,0.51,2.1,0.1,0,0,3.7,0.5,,0,,0,,0,,0.5,33.4,21.6,1.8,,0.5,0.25,0.31,0.16,13.608,,3.78,0,68
F002593,18301,"Chicken, breast, lean flesh, grilled, no added fat", $1.05 , $10.50 ,1000,598,598,66.2,29.8,2.5,0,0,0,0,0,104.9,,0.9,0.2,5,7.8,,,0.03,,0,0.4,0.5,30,0.011,0.4,4.1,,260,375,34.6,43,,,0.68,0,0.11,0.03,11.32,1,0.21,,0.5,54,0,6,0.1,,0,,0,,0,,0.14,35.42,13.21,0.5,,0.5,0.82,1.19,0.31,11.647,,10.95,0,98
F002592,18301,"Chicken, breast, lean flesh, fried, no added fat", $1.05 , $10.50 ,1000,663,663,64.1,34.5,1.8,0,0,0.7,0,0.7,0,0.2,1.8,0,5,3.4,56,,0.039,0,0.6,0.37,0,38,0.005,0,4.5,2,285,445,22.8,55,,,0.73,6,0.11,0.07,22.32,1.7,0.44,3,0.2,2,0,6,0.4,,0,,0,,0,,0.4,33.05,20.85,1.55,,0.4,0.55,0.73,0.34,25.633,,6.62,0,86
F002591,18301,"Chicken, breast, lean flesh, casseroled, no added fat", $1.05 , $10.50 ,1000,596,596,66.7,27,3.7,0,0,0,0,0,,,,,11,,44,,0.05,0,0.6,0.4,,28,0.01,,,,260,270,20,41,,,0.9,5,0.05,0.1,17.24,1.2,0.3,3.1,0.2,0,0,6,0.2,,,,,,,,0.21,34.3,14.5,0.5,,0.5,1.2,1.78,0.51,17.482,,16.43,0,69
F002590,18301,"Chicken, breast, lean flesh, baked, no added fat", $1.05 , $10.50 ,1000,637,637,66.1,29,3.9,0,0,0,0,0,,0.2,2.2,0,9,1.2,42,,0.041,0,0,0.5,0.1,30,0.01,0,3.3,2,280,320,26.1,46,,,0.83,7,0.05,0.11,17.7,1.2,0.2,4.2,0.2,3,0,6,0.2,,,,,,,,0.22,33.9,15.5,0.5,,0.5,1.25,1.86,0.57,18.428,,17.32,0,84
F002435,19403,"Cheese, cottage", $1.06 , $10.60 ,1000,556,556,75.4,17,5.7,0,0,1.8,0,1.8,,,,,89,3.6,523,,0.03,,15.3,0.05,,8,0.004,,5.2,1,143,123,5.7,277,,,0.24,38,0.048,0.285,4.45,,0.04,,0.5,3,0,0.1,0,,,,,,,,0.04,64.27,4.99,0.1,,4.7,3.47,1.41,0.27,5.396,,253.07,0,22
F005192,24401,"Lettuce, iceberg, raw", $1.07 , $3.20 ,300,60,52,96.2,1,0,1.1,0,2.1,0,2.1,0,,0,,18,,,,0.031,,0,0.26,0,9,0.13,,2,,29,170,0,12,,,0.21,5,0.06,0.03,0.11,0.04,0,,0,87,2,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000231,18601,"Bacon, shortcut, as purchased without rind, fried, no added fat", $1.07 , $10.67 ,1000,1046,1046,47.9,30.4,13.9,0,0,0.9,0,0.9,160,,0,0,8,5.3,,,0.048,,5.2,0.64,0,30,0.012,,1.8,,500,450,28,2000,,,2.1,0,1.09,0.19,14.45,1.48,0.56,,1,3,0,0,0.1,,,,,,,,0.08,41.5,11.8,0,,0.7,5.25,5.8,1.49,0,,88.54,0,57
F002980,11804,Cocoa powder, $1.07 , $1.07 ,100,1335,1113,4.1,22.1,15.2,27.7,0,1.5,0,10.5,7000,,4.5,30,170,2.5,180,,3.7,85,4,30,8.6,590,4.8,,39,,750,4400,10,81,250,,7.5,5,0,0.1,6.46,0.53,0.3,26,0,62,0,0,0.1,,0,,0,,3.7,,0.47,63.3,3.4,0,,0,9.17,4.71,0.49,0,,0,150,0
F000368,28304,"Bar, snack, fruit filled, baked", $1.07 , $1.07 ,100,1400,1354,14.3,3.9,3,4.5,0,31.4,25.6,71.1,,,,,22,,,,0.13,,2,0.3,,19,0.32,,,,40,174,2,199,,,0.37,34,0.07,1.91,2.04,,0.08,,0,66,38,0,0.3,,,,,,,,0.31,44.2,26.1,0,,0.4,1.27,0.84,0.75,0,,10.08,0,12
F007535,24701,"Pumpkin, butternut, peeled, fresh, raw", $1.08 , $3.77 ,350,189,174,85,2.1,0.6,1.8,0,5.2,0,6.9,,,,,18,,30,,0.079,0,0,0.32,,17,0.13,,,,52,376,0,1,,,0.16,462,0.08,0.09,0.9,0.17,0.06,,0,41,8,0,0.5,,0,,0,,0,,0.5,29.1,59.7,0,,0,0.14,0.02,0.29,0,,0,0,0
F007534,24701,"Pumpkin, butternut, peeled, fresh, boiled, drained", $1.08 , $3.77 ,350,197,182,84.3,2.2,0.6,1.9,0,5.4,0,7.2,,,,,18,,31,,0.082,0,0,0.32,,17,0.135,,,,49,352,0,1,,,0.15,434,0.067,0.084,0.94,0.18,0.05,,0,28,6,0,0.5,,0,,0,,0,,0.49,,,,,,0.14,0.02,0.3,0,,0,0,0
F007533,24701,"Pumpkin, butternut, peeled, fresh, baked, no added fat", $1.08 , $3.77 ,350,222,205,82.3,2.5,0.7,2.1,0,6.1,0,8.1,,,,,21,,35,,0.093,0,0,0.38,,20,0.153,,,,61,442,0,1,,,0.18,517,0.085,0.1,1.06,0.2,0.07,,0,41,8,0,0.6,,0,,0,,0,,0.56,,,,,,0.16,0.02,0.34,0,,0,0,0
F005236,28401,"Lolly, jelly varieties", $1.08 , $1.08 ,100,1260,1260,15.2,3.9,0,0,0,45.3,45.3,75.1,82,,0,,6,,,,0.024,,0,0.12,0,1,0.005,,0,,8,3,0,39,,,0.01,0,0,0,0.02,,0,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008983,16801,Sultana, $1.08 , $1.08 ,100,1295,1269,16.4,2.6,0.3,3.3,0,73.2,0,75,490,0.8,3,0,52,3.8,,,0.354,,1.2,1.85,2.4,35,0.31,0,2.7,3,80,955,0.2,7,,3.3,0.35,0,0.08,0,0.34,0.07,0.12,,0,8,0,0,0.2,,,,,,,,0.2,0,0,0,,0,0,0,0,0,,0,0,0
F003983,12103,"Flour, arrowroot", $1.09 , $10.86 ,1000,1378,1350,12,0.4,0.2,3.4,0,0,0,78.6,,,,,35,,20,,0,50,0.5,0.5,,4,0.1,,,,7,12,0,2,6,,0,0,0.1,0.02,0.59,0,0,0,0,7,0,0,0,,,,,,,,0,29.8,45.7,0,,0,0.05,0.04,0.07,0,,0,0,0
F008951,16201,"Strawberry, purchased frozen", $1.10 , $11.00 ,1000,108,88,92.1,0.7,0.2,2.5,0,3.8,0,3.9,0,0,0.8,3.1,21,0.1,0,,0.062,0,0,0.55,0,8,0.356,0.6,8.6,1,24,166,1,0,,,0.18,0,0.019,0.05,0.25,0.09,0.02,2,0,37,32,0,0.2,,0.2,,0,,0.2,,0.3,,,,,,0,0,0,0,,0,0,0
